voltage,velocity,acceleration
1.054659,0.465996,0.109462
1.059768,0.468246,0.113755
1.064712,0.470495,0.114273
1.069632,0.472742,0.094319
1.075588,0.475055,0.143159
1.079628,0.477300,0.093960
1.085600,0.479612,0.121592
1.090354,0.481902,0.121144
1.095081,0.484172,0.124718
1.099631,0.486413,0.111944
1.104635,0.488659,0.094552
1.110573,0.490969,0.122386
1.115293,0.493256,0.112874
1.120358,0.495545,0.133865
1.124633,0.497785,0.109773
1.129733,0.500035,0.081218
1.136660,0.502415,0.141644
1.140861,0.504727,0.126014
1.145447,0.507006,0.107949
1.150726,0.509303,0.114576
1.155737,0.511596,0.146477
1.159651,0.513816,0.111471
1.164629,0.516042,0.105327
1.169912,0.518293,0.100472
1.175513,0.520586,0.124802
1.180107,0.522850,0.125119
1.184631,0.525084,0.084871
1.191211,0.527426,0.152719
1.195046,0.529683,0.099225
1.200731,0.531986,0.105868
1.206170,0.534314,0.136013
1.210449,0.536586,0.098345
1.216226,0.538910,0.170534
1.219632,0.541122,0.110020
1.224657,0.543344,0.111722
1.229630,0.545571,0.095041
1.235489,0.547861,0.120608
1.240237,0.550133,0.117279
1.245078,0.552393,0.103940
1.250516,0.554685,0.136722
1.254705,0.556920,0.106405
1.259958,0.559177,0.106959
1.265234,0.561455,0.129513
1.269630,0.563692,0.110919
1.274672,0.565937,0.100527
1.280256,0.568224,0.102932
1.285811,0.570546,0.147958
1.289733,0.572789,0.100208
1.295331,0.575076,0.114257
1.300335,0.577362,0.107237
1.305662,0.579666,0.143326
1.309682,0.581902,0.107501
1.314882,0.584156,0.090593
1.321102,0.586493,0.159261
1.324770,0.588733,0.101046
1.330313,0.591014,0.132197
1.334626,0.593248,0.094978
1.340507,0.595545,0.120061
1.345290,0.597825,0.108182
1.350558,0.600121,0.137986
1.354718,0.602359,0.113949
1.359628,0.604596,0.110502
1.364688,0.606841,0.106961
1.369938,0.609107,0.120742
1.374629,0.611354,0.112341
1.379629,0.613604,0.112502
1.384630,0.615858,0.108922
1.389802,0.618126,0.112893
1.394824,0.620395,0.098779
1.400568,0.622714,0.135289
1.404853,0.624979,0.118606
1.409628,0.627231,0.112582
1.414627,0.629485,0.106305
1.419929,0.631762,0.100865
1.425573,0.634080,0.126618
1.430150,0.636364,0.126362
1.434669,0.638615,0.096247
1.440515,0.640924,0.140365
1.444628,0.643170,0.112275
1.449629,0.645420,0.108372
1.454819,0.647686,0.116065
1.459699,0.649944,0.099863
1.465353,0.652248,0.113938
1.470407,0.654550,0.129765
1.474843,0.656811,0.103449
1.480307,0.659104,0.110100
1.485514,0.661408,0.129023
1.489978,0.663672,0.080128
1.497042,0.666073,0.176532
1.500441,0.668350,0.132517
1.504737,0.670580,0.102191
1.510194,0.672846,0.127644
1.514633,0.675077,0.096918
1.520386,0.677363,0.128335
1.524839,0.679611,0.101122
1.530397,0.681899,0.112588
1.535477,0.684190,0.123087
1.540130,0.686455,0.118156
1.544924,0.688709,0.119757
1.549628,0.690945,0.111819
1.554628,0.693187,0.106548
1.559888,0.695450,0.117598
1.564699,0.697702,0.100577
1.570296,0.699996,0.132222
1.574634,0.702243,0.106774
1.579896,0.704512,0.115248
1.584817,0.706775,0.096008
1.590711,0.709099,0.122551
1.595451,0.711398,0.114792
1.600458,0.713694,0.127558
1.604957,0.715953,0.103417
1.610420,0.718245,0.127845
1.614901,0.720500,0.104505
1.620295,0.722783,0.116979
1.625175,0.725057,0.127545
1.629631,0.727295,0.112136
1.634621,0.729537,0.112096
1.639622,0.731783,0.111690
1.644650,0.734036,0.093842
1.650650,0.736356,0.145935
1.654626,0.738603,0.098585
1.660323,0.740899,0.131922
1.664673,0.743149,0.092906
1.670728,0.745471,0.126860
1.675304,0.747758,0.099171
1.681070,0.750093,0.134116
1.685423,0.752377,0.109959
1.690616,0.754672,0.138767
1.694750,0.754672,NaN
