voltage,velocity,acceleration
1.055190,0.465991,0.114404
1.060169,0.468268,0.119801
1.064919,0.470527,0.107525
1.070173,0.472805,0.119572
1.074935,0.475067,0.113008
1.079938,0.477330,0.112858
1.084952,0.479595,0.113210
1.089955,0.481862,0.113212
1.094960,0.484130,0.113309
1.099963,0.486398,0.113444
1.104963,0.488667,0.111298
1.110060,0.490943,0.117341
1.114909,0.493209,0.113176
1.119913,0.495476,0.113075
1.124925,0.497744,0.113091
1.129939,0.500014,0.108121
1.135188,0.502301,0.120146
1.139946,0.504569,0.113538
1.144941,0.506838,0.113108
1.149956,0.509108,0.108254
1.155199,0.511395,0.120278
1.159951,0.513663,0.108063
1.165199,0.515948,0.120081
1.169956,0.518215,0.110747
1.175074,0.520491,0.113783
1.180075,0.522766,0.108110
1.185336,0.525058,0.120642
1.190086,0.527331,0.108278
1.195333,0.529620,0.120189
1.200094,0.531891,0.108291
1.205337,0.534178,0.120055
1.210099,0.536447,0.116925
1.214951,0.538707,0.112495
1.219973,0.540970,0.105469
1.225338,0.543259,0.114479
1.230335,0.545545,0.114132
1.235343,0.547829,0.120108
1.240098,0.550096,0.113465
1.245092,0.552363,0.116922
1.249940,0.554621,0.112815
1.254943,0.556881,0.113095
1.259939,0.559143,0.107643
1.265192,0.561423,0.114182
1.270184,0.563701,0.119068
1.274967,0.565964,0.113559
1.279949,0.568227,0.113068
1.284953,0.570492,0.107989
1.290197,0.572774,0.114035
1.295199,0.575054,0.114060
1.300198,0.577334,0.114002
1.305196,0.579612,0.119781
1.309951,0.581873,0.107792
1.315196,0.584152,0.113953
1.320196,0.586430,0.119944
1.324944,0.588691,0.112989
1.329946,0.590953,0.113067
1.334948,0.593217,0.113005
1.339957,0.595483,0.107973
1.345203,0.597766,0.120220
1.349950,0.600031,0.107858
1.355200,0.602313,0.114145
1.360199,0.604594,0.113869
1.365206,0.606874,0.119935
1.369958,0.609136,0.107885
1.375202,0.611416,0.119828
1.379958,0.613679,0.113176
1.384957,0.615944,0.112878
1.389972,0.618210,0.105988
1.395318,0.620500,0.120561
1.400066,0.622771,0.116334
1.404946,0.625034,0.109891
1.410095,0.627308,0.113457
1.415106,0.629583,0.113627
1.420110,0.631857,0.113591
1.425117,0.634132,0.113919
1.430109,0.636406,0.113330
1.435125,0.638681,0.113434
1.440138,0.640956,0.113829
1.445135,0.643230,0.108227
1.450389,0.645521,0.124438
1.454992,0.647784,0.115067
1.459907,0.650042,0.107606
1.465153,0.652318,0.113711
1.470158,0.654594,0.119795
1.474907,0.656853,0.107504
1.480161,0.659131,0.113959
1.485157,0.661407,0.119745
1.489910,0.663667,0.113013
1.494909,0.665929,0.107744
1.500157,0.668208,0.113930
1.505158,0.670486,0.119619
1.509920,0.672748,0.112545
1.514945,0.675013,0.113087
1.519952,0.677280,0.113174
1.524958,0.679548,0.110437
1.530092,0.681825,0.113475
1.535109,0.684102,0.108370
1.540364,0.686396,0.126307
1.544903,0.688656,0.108351
1.550118,0.690932,0.117103
